date,crop,price,temp,high_temp,low_temp,rain,wind,humidity,sunshine,sunlight,product,KRW/USD
2020-02-04,배추,9400,0.1,6.3,-6.2,0.3,1.8,57.0,8.9,14.04,2242640.0,1184.51
2020-02-05,배추,9400,-3.6,1.0,-7.4,0.0,3.0,43.0,9.6,15.46,2242640.0,1187.25
2020-02-06,배추,9400,-4.2,2.0,-10.2,0.0,1.5,50.0,8.4,13.29,2242640.0,1179.64
2020-02-07,배추,9700,-0.4,5.3,-6.6,0.0,1.7,54.0,7.4,11.96,2242640.0,1186.24
2020-02-10,배추,9600,3.7,10.8,-2.0,0.0,1.5,60.0,9.0,14.07,2242640.0,1186.96
2020-02-11,배추,9600,5.4,13.5,-3.2,0.1,1.1,58.0,8.1,13.37,2242640.0,1181.32
2020-02-12,배추,9600,7.6,10.0,5.0,13.3,1.3,89.0,0.1,2.13,2242640.0,1178.98
2020-02-13,배추,9600,8.0,12.5,3.5,0.1,1.6,84.0,5.1,9.31,2242640.0,1182.02
2020-02-14,배추,9800,7.8,15.8,3.0,0.0,1.1,77.0,7.8,13.62,2242640.0,1183.2
2020-02-17,배추,10200,-3.0,-0.5,-5.2,1.3,3.7,65.0,5.2,10.0,2242640.0,
2020-02-18,배추,10000,-1.7,4.0,-6.8,0.0,2.3,56.0,10.0,17.4,2242640.0,1190.6
2020-02-19,배추,10600,2.1,9.2,-4.6,0.0,1.3,62.0,8.7,14.89,2242640.0,1191.1
2020-02-20,배추,10200,4.7,12.3,-1.3,0.0,1.1,66.0,9.7,15.28,2242640.0,1198.34
2020-02-21,배추,9750,6.8,13.9,-0.6,1.7,1.4,69.0,5.6,11.44,2242640.0,1207.91
2020-02-24,배추,9750,6.9,14.7,-1.6,0.2,1.4,56.0,8.4,15.22,2242640.0,1218.5
2020-02-25,배추,10500,7.3,9.8,5.5,27.7,2.0,91.0,0.2,1.69,2242640.0,1214.45
2020-02-26,배추,10250,6.9,11.8,2.9,1.2,1.7,80.0,4.2,11.14,2242640.0,1213.61
2020-02-27,배추,9500,5.1,10.1,1.1,0.1,1.5,71.0,6.6,14.83,2242640.0,1217.03
2020-02-28,배추,9500,4.2,6.5,1.4,2.6,1.2,86.0,0.1,3.54,2242640.0,1214.92
2020-03-02,배추,9500,5.1,9.6,1.6,0.1,2.6,58.0,9.2,18.15,2242640.0,1190.89
2020-03-03,배추,9500,5.9,12.0,-0.1,0.1,1.6,70.0,5.4,13.02,2242640.0,1194.66
2020-03-04,배추,9500,4.1,8.4,0.1,0.0,3.5,56.0,8.1,16.28,2242640.0,1187.54
2020-03-05,배추,9750,2.2,8.3,-2.5,0.0,2.2,52.0,10.5,19.78,2242640.0,1181.11
2020-03-06,배추,9500,3.6,11.8,-4.2,0.0,1.2,54.0,10.6,19.62,2242640.0,1192.0
2020-03-09,배추,9600,8.6,14.8,1.4,3.3,1.3,74.0,3.9,11.23,2242640.0,1203.75
2020-03-10,배추,10000,7.3,9.8,4.3,9.3,2.5,85.0,0.2,3.12,2242640.0,1193.1
2020-03-11,배추,10000,4.6,9.5,0.3,0.0,3.0,49.0,10.9,21.52,2242640.0,1194.16
2020-03-12,배추,9800,6.5,14.7,-1.8,0.0,1.8,51.0,10.3,19.91,2242640.0,1206.19
2020-03-13,배추,10000,6.9,13.0,1.3,0.0,2.2,51.0,7.7,16.82,2242640.0,1211.7
2020-03-16,배추,10000,4.2,10.3,-2.1,0.3,2.2,50.0,10.8,21.54,2242640.0,1225.33
2020-03-17,배추,9600,7.2,13.5,0.6,0.1,2.4,66.0,6.9,12.92,2242640.0,1240.98
2020-03-18,배추,9600,9.5,17.7,1.3,0.0,1.6,57.0,10.3,21.25,2242640.0,1245.19
2020-03-19,배추,9400,9.5,15.6,4.3,0.1,4.3,53.0,8.2,16.26,2242640.0,1250.86
2020-03-20,배추,9200,9.2,15.5,2.7,0.0,2.8,42.0,10.9,21.69,2242640.0,1250.55
2020-03-23,배추,9400,9.6,17.2,2.0,0.0,2.1,51.0,11.1,21.96,2242640.0,1267.25
2020-03-24,배추,9400,9.3,17.2,1.9,0.0,1.4,58.0,10.8,21.65,2242640.0,1249.88
2020-03-25,배추,9400,11.5,19.6,2.5,0.0,1.5,57.0,10.3,21.09,2242640.0,1228.15
2020-03-26,배추,9400,13.2,18.2,7.6,7.5,1.4,76.0,2.8,9.23,2242640.0,1233.47
2020-03-27,배추,9300,11.4,16.3,6.4,5.8,2.2,84.0,2.8,8.3,2242640.0,1210.49
2020-03-30,배추,10200,9.9,16.9,4.0,0.0,1.4,61.0,10.8,22.73,2242640.0,1224.11
2020-03-31,배추,10000,11.0,18.9,2.6,0.0,1.4,58.0,10.3,21.93,2242640.0,1218.92
2020-04-01,배추,9800,10.6,17.4,5.4,0.7,2.5,55.0,5.7,15.8,2242640.0,1229.65
2020-04-02,배추,10200,9.3,16.8,1.9,0.0,1.8,51.0,10.5,21.59,2242640.0,1229.89
2020-04-03,배추,9600,10.4,18.0,2.8,0.0,2.0,44.0,11.4,23.98,2242640.0,1230.56
2020-04-06,배추,9400,8.9,16.9,-0.2,0.0,1.8,47.0,10.6,24.0,2242640.0,1224.6
2020-04-07,배추,9400,11.6,18.7,4.1,0.0,2.2,50.0,10.4,21.08,2242640.0,1220.43
2020-04-08,배추,9400,9.7,15.9,3.9,0.1,2.6,44.0,11.2,24.76,2242640.0,1220.77
2020-04-09,배추,9700,8.7,15.5,1.3,0.0,2.1,51.0,10.9,23.35,2242640.0,1219.71
2020-04-10,배추,9700,9.4,14.4,4.9,0.0,1.6,59.0,6.6,18.73,2242640.0,1211.71
2020-04-13,배추,9700,9.2,16.1,3.4,0.0,2.5,50.0,9.8,23.17,2242640.0,1217.72
2020-04-14,배추,10100,11.8,21.0,2.0,0.0,1.8,45.0,11.9,26.16,2242640.0,1216.85
2020-04-16,배추,10200,13.0,20.1,5.2,0.0,2.2,58.0,10.6,23.74,2242640.0,1228.21
2020-04-17,배추,10300,11.5,15.3,8.6,13.8,1.9,84.0,2.0,8.32,2242640.0,1217.81
2020-04-20,배추,10300,11.2,16.1,7.7,0.5,2.6,75.0,5.0,14.01,2242640.0,1217.29
2020-04-21,배추,10300,8.9,13.9,4.9,0.0,3.8,45.0,10.5,25.44,2242640.0,1229.28
2020-04-22,배추,11300,7.2,11.5,3.8,0.0,3.9,43.0,10.4,23.19,2242640.0,1234.79
2020-04-23,배추,11900,8.4,14.3,3.0,0.0,3.3,47.0,11.3,25.71,2242640.0,1229.04
2020-04-24,배추,12600,10.0,16.0,2.6,0.0,3.1,45.0,12.1,26.94,2242640.0,1233.88
2020-04-27,배추,12900,11.2,17.9,4.4,0.1,2.0,55.0,10.3,22.81,2242640.0,1224.16
2020-04-28,배추,14600,12.8,20.3,4.0,0.0,2.2,52.0,12.3,27.0,2242640.0,1224.83
2020-04-29,배추,15800,14.8,22.9,7.0,0.0,1.8,49.0,12.0,26.42,2242640.0,1219.2
2020-05-04,배추,16800,19.0,26.2,13.5,0.0,1.9,77.0,9.2,22.31,2242640.0,1228.81
2020-05-06,배추,14200,17.7,25.5,11.2,0.0,1.9,66.0,11.8,27.59,2242640.0,1222.03
2020-05-07,배추,12500,16.9,23.5,10.0,0.0,2.2,48.0,11.1,26.34,2242640.0,1224.76
2020-05-08,배추,12000,17.1,23.7,9.2,3.6,2.0,57.0,8.6,23.54,2242640.0,1216.47
2020-05-11,배추,11214,18.1,24.4,12.1,0.3,2.4,60.0,10.6,25.94,2242640.0,1220.2
2020-05-12,배추,11000,16.3,21.7,11.7,0.3,3.1,61.0,10.6,23.27,2242640.0,1222.0
2020-05-13,배추,10000,16.1,22.9,8.6,0.0,2.3,51.0,12.7,29.31,2242640.0,1223.86
2020-05-14,배추,10000,18.6,26.0,10.4,0.0,1.5,46.0,8.1,21.25,2242640.0,1227.76
2020-05-15,배추,10200,15.9,18.9,14.3,17.8,1.9,87.0,0.0,2.96,2242640.0,1230.71
2020-05-18,배추,10000,18.0,23.2,14.0,18.4,2.2,85.0,2.8,13.89,2242640.0,1232.32
2020-05-19,배추,11200,13.4,17.1,10.5,8.3,2.7,79.0,4.2,12.42,2242640.0,1225.19
2020-05-20,배추,11200,13.7,19.2,8.6,0.3,1.8,72.0,7.3,22.15,2242640.0,1230.02
2020-05-21,배추,12400,15.4,21.2,9.4,0.0,1.6,73.0,8.5,24.28,2242640.0,1230.53
2020-05-22,배추,12400,16.8,22.2,12.3,0.2,1.8,74.0,7.0,20.44,2242640.0,1236.53
2020-05-25,배추,11600,17.7,22.4,13.8,0.0,1.4,78.0,4.2,16.43,2242640.0,
